,X,unique.ID,Family,New.Genus,New.Species,TPL.name,Site,Block,Plot,Indiv.ID,Stem.ID,Age.class,Dead.19,Diam.18,date.18,hght.18,hght.19,Abn.18,Load.18,Prev.18,Load.19,Prev.19,note,Diam.19,date.19,Diam,Cut,treatment.perc.cut,date.23,scribe.23,diam.23,dead.23,coi.23,prev.23,canopy.liana.23,stems24.23,stems46.23,stems68.23,stems810.23,stems10pl.23,total.stems.23,notes.23,leaning.23,multistem.23,alt.pom.23,broken.23,retag.no.23,notes.to.rw,remove_rgr,why_remove,timber_spp,pre_liana_presence,post_liana_presence
3058,3011,2144a,Euphorbiaceae,Mallotus,wrayi,Mallotus wrayi,Site4,Block17,Plot17a,2144,a,sappling,0,NA,01/10/2018,60.5,60,NA,NA,0,NA,0,,5.547972603,NA,5.547972603,0,0,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
3059,3012,2145a,Annonaceae,Neo-uvaria,acuminatissima,Neo-uvaria acuminatissima,Site4,Block17,Plot17a,2145,a,sappling,0,NA,01/10/2018,153.3,157,NA,NA,0,NA,0,,16.97056275,NA,16.97056275,0,0,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
3060,3013,2146a,Rubiaceae,Urophyllum,sandahanicum,Urophyllum sandahanicum,Site4,Block17,Plot17c,2146,a,adult,0,16.8,01/10/2018,NA,NA,4,3,1,2,1,,NA,NA,16.8,0,0,06/07/2023,AJ,19.6,0,0,NA,0,0,0,0,0,0,0,irregular stem,0,0,0,0,NA,,0,,0,1,0
3061,3014,2147a,Rubiaceae,Neolamarckia,cadamba,Neolamarckia cadamba,Site4,Block17,Plot17c,2147,a,adult,0,35.7,01/10/2018,NA,NA,0,0,0,0,0,,NA,NA,35.7,0,0,06/07/2023,AJ,40.8,0,0,NA,0,0,0,0,0,0,0,"irregular stem, poor canopy visual",0,0,0,0,NA,,0,,0,0,0
3062,3015,2148a,Dipterocarpaceae,Hopea,nervosa,Hopea nervosa,Site4,Block17,Plot17c,2148,a,adult,0,14.7,01/10/2018,NA,NA,16,3,1,2,1,,NA,NA,14.7,0,0,06/07/2023,AJ,23.1,0,0,NA,0,0,0,0,0,0,0,poor canopy visual,0,0,0,0,NA,,0,,1,1,0
3063,3016,2149a,Rutaceae,Melicope,lunu-ankenda,Melicope lunu-ankenda,Site4,Block17,Plot17c,2149,a,adult,0,22.6,01/10/2018,NA,NA,4,2,1,3,1,,NA,NA,22.6,0,0,06/07/2023,AJ,23.1,0,0,NA,0,0,0,0,0,0,0,poor canopy visual,0,0,0,0,NA,,0,,0,1,0
3064,3017,214a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site4,Block20,Plot20e,214,a,juvenile,0,2.92,01/10/2018,NA,NA,NA,NA,0,NA,0,leaning,NA,NA,2.92,1,60,30/06/2023,Unknown,2.76,0,NA,0,NA,0,0,0,0,0,0,prostate,0,0,0,0,NA,,0,,0,0,NA
3065,3018,2150a,,Macaranga,sp,Macaranga sp,Site4,Block17,Plot17c,2150,a,adult,1,40.1,01/10/2018,NA,NA,0,0,0,NA,NA,broken crown,NA,NA,40.1,0,0,06/07/2023,AJ,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing,0,0,0,0,NA,,0,,0,0,0
3066,3019,2151a,Rubiaceae,Urophyllum,sandahanicum,Urophyllum sandahanicum,Site4,Block17,Plot17c,2151,a,adult,0,12.2,01/10/2018,NA,NA,10,2,1,4,1,,NA,NA,12.2,0,0,06/07/2023,AJ,15.4,0,1,NA,1,0,0,0,0,0,0,,0,0,0,0,NA,,0,,0,1,1
3067,3020,2152a,Phyllanthaceae,Phyllanthus,borneensis,Phyllanthus borneensis,Site4,Block17,Plot17c,2152,a,adult,0,11.5,01/10/2018,NA,NA,3,3,1,2,1,,NA,NA,11.5,0,0,06/07/2023,AJ,13.2,0,0,NA,0,1,0,0,0,0,1,,0,0,0,0,NA,,0,,0,1,1
3068,3021,2153a,Rubiaceae,Neolamarckia,cadamba,Neolamarckia cadamba,Site4,Block17,Plot17c,2153,a,adult,0,10.4,01/10/2018,NA,NA,3,NA,1,2,1,broken crown,NA,NA,10.4,0,0,06/07/2023,AJ,11.5,0,1,NA,2,4,0,0,0,0,4,,0,0,0,0,NA,,0,,0,1,1
3069,3022,2154a,Melastomataceae,Pternandra,borneaensis,Pternandra borneaensis,Site4,Block17,Plot17c,2154,a,adult,0,11.4,01/10/2018,NA,NA,3,NA,1,1,1,broken crown,NA,NA,11.4,0,0,06/07/2023,AJ,12.7,0,0,NA,0,1,0,0,0,0,1,,0,0,0,0,NA,,0,,0,1,1
3070,3023,2155a,Rubiaceae,Urophyllum,sandahanicum,Urophyllum sandahanicum,Site4,Block17,Plot17c,2155,a,adult,0,11.9,01/10/2018,NA,NA,5,3,1,2,1,leaning,NA,NA,11.9,0,0,06/07/2023,AJ,12.2,0,0,NA,0,0,0,0,0,0,0,,1,0,0,0,NA,,0,,0,1,0
3071,3024,2156a,Rubiaceae,Urophyllum,sandahanicum,Urophyllum sandahanicum,Site4,Block17,Plot17c,2156,a,adult,0,19.5,01/10/2018,NA,NA,4,3,1,2,1,,NA,NA,19.5,0,0,06/07/2023,AJ,22.9,0,0,NA,0,0,0,0,0,0,0,irregular stem,0,0,0,0,NA,,0,,0,1,0
3072,3025,2157a,Euphorbiaceae,Macaranga,gigantea,Macaranga gigantea,Site4,Block17,Plot17c,2157,a,adult,0,21.2,01/10/2018,NA,NA,2,1,1,1,1,,NA,NA,21.2,0,0,06/07/2023,AJ,26.3,0,0,NA,0,0,0,0,0,0,0,poor canopy visual,0,0,0,0,NA,,0,,0,1,0
3073,3026,2158a,Rubiaceae,Urophyllum,sandahanicum,Urophyllum sandahanicum,Site4,Block17,Plot17c,2158,a,adult,0,17.2,01/10/2018,NA,NA,5,3,1,2,1,,NA,NA,17.2,0,0,06/07/2023,AJ,21.1,0,1,NA,2,1,0,0,0,0,1,,0,0,0,0,NA,,0,,0,1,1
3074,3027,2159a,Euphorbiaceae,Macaranga,gigantea,Macaranga gigantea,Site4,Block17,Plot17c,2159,a,adult,0,27.3,01/10/2018,NA,NA,1,1,1,0,0,,NA,NA,27.3,0,0,06/07/2023,AJ,29.2,0,2,NA,2,1,0,0,0,0,1,,0,0,0,0,NA,,0,,0,1,1
3075,3028,215a,Achariaceae,Hydnocarpus,borneensis,Hydnocarpus borneensis,Site4,Block20,Plot20e,215,a,juvenile,0,4.05,01/10/2018,NA,NA,NA,NA,1,NA,0,,NA,NA,4.05,1,60,30/06/2023,Unknown,3.693237063,0,NA,0,NA,0,0,0,0,0,0,non cylindrical,0,0,0,0,NA,,0,,0,1,NA
3076,3029,2160a,Euphorbiaceae,Macaranga,pearsonii,Macaranga pearsonii,Site4,Block17,Plot17c,2160,a,adult,0,38.8,01/10/2018,NA,NA,0,0,0,1,1,,NA,NA,38.8,0,0,06/07/2023,AJ,42.3,0,0,NA,0,0,0,0,0,0,0,irregular stem,0,0,0,0,NA,,0,,0,1,0
3077,3030,2161a,,Barringtonia,sp,Barringtonia sp,Site4,Block17,Plot17c,2161,a,adult,0,33.6,01/10/2018,NA,NA,20,4,1,4,1,,NA,NA,33.6,0,0,06/07/2023,AJ,33.4,0,2,NA,4,4,2,0,0,0,6,hollow trunk,0,0,0,0,NA,,0,,0,1,1
3078,3031,2162a,,NA,NA,NA,Site4,Block17,Plot17c,2162,a,adult,0,10.8,01/10/2018,NA,NA,4,2,1,1,1,,NA,NA,10.8,0,0,06/07/2023,AJ,13.2,0,0,NA,0,1,0,0,0,0,1,broken crown,0,0,0,1,NA,,0,,0,1,1
3079,3032,2163a,Melastomataceae,Pternandra,borneaensis,Pternandra borneaensis,Site4,Block17,Plot17c,2163,a,adult,0,10.1,01/10/2018,NA,NA,0,0,0,1,1,broken crown,NA,NA,10.1,0,0,06/07/2023,AJ,12.2,0,0,NA,0,0,0,0,0,0,0,broken trunk,0,0,0,1,NA,,0,,0,1,0
3080,3033,2164a,,NA,NA,NA,Site4,Block17,Plot17c,2164,a,adult,0,18.4,01/10/2018,NA,NA,3,1,1,3,1,leaning,NA,NA,18.4,0,0,06/07/2023,AJ,12.5,0,1,NA,3,0,0,0,0,0,0,,1,0,0,0,NA,,0,,0,1,1
3081,3034,2165a,Dipterocarpaceae,Parashorea,tomentella,Parashorea tomentella,Site4,Block17,Plot17c,2165,a,adult,0,12.3,01/10/2018,NA,NA,4,1,1,3,1,leaning,NA,NA,12.3,0,0,06/07/2023,AJ,12.7,0,0,NA,1,0,0,0,0,0,0,,1,0,0,0,NA,,0,,1,1,1
3082,3035,2166a,,NA,NA,NA,Site4,Block17,Plot17c,2166,a,adult,0,12.7,01/10/2018,NA,NA,3,2,1,3,1,,NA,NA,12.7,0,0,06/07/2023,AJ,12.7,0,1,NA,2,0,1,0,0,0,1,,0,0,0,0,NA,,0,,0,1,1
3083,3036,2167a,Rubiaceae,Praravinia,suberosa,Praravinia suberosa,Site4,Block17,Plot17c,2167,a,juvenile,0,4.07,01/10/2018,NA,NA,NA,NA,1,NA,1,,NA,NA,4.07,0,0,06/07/2023,AJ,4.14,0,0,1,2,0,0,0,0,0,0,,0,0,0,0,NA,,0,,0,1,1
3084,3037,2168a,Melastomataceae,Pternandra,borneaensis,Pternandra borneaensis,Site4,Block17,Plot17c,2168,a,juvenile,0,4.86,01/10/2018,NA,NA,NA,NA,1,NA,1,,NA,NA,4.86,0,0,06/07/2023,AJ,4.92,0,0,1,1,0,0,0,0,0,0,,0,0,0,0,NA,,0,,0,1,1
3085,3038,2169a,Rubiaceae,Praravinia,suberosa,Praravinia suberosa,Site4,Block17,Plot17c,2169,a,juvenile,0,2.8,01/10/2018,NA,NA,NA,NA,1,NA,1,,NA,NA,2.8,0,0,06/07/2023,AJ,2.23,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,NA,,0,,0,1,0
3086,3039,216a,Meliaceae,Dysoxylum,excelsum,Dysoxylum excelsum,Site4,Block20,Plot20e,216,a,juvenile,0,4.95,01/10/2018,NA,NA,NA,NA,1,NA,1,,NA,NA,4.95,1,60,30/06/2023,Unknown,5.11,0,NA,1,NA,1,0,0,0,0,1,,0,0,0,0,NA,,0,,0,1,1
3087,3040,2170a,Melastomataceae,Pternandra,borneaensis,Pternandra borneaensis,Site4,Block17,Plot17c,2170,a,juvenile,0,2.92,01/10/2018,NA,NA,NA,NA,0,NA,0,,NA,NA,2.92,0,0,06/07/2023,AJ,2.91,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,NA,,0,,0,0,0
3088,3041,2171a,Euphorbiaceae,Mallotus,leucodermis,Mallotus leucodermis,Site4,Block17,Plot17c,2171,a,juvenile,0,5.55,01/10/2018,NA,NA,NA,NA,1,NA,1,,NA,NA,5.55,0,0,06/07/2023,AJ,5.5,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,NA,,0,,0,1,0
3089,3042,2172a,Phyllanthaceae,Cleistanthus,hirsutulus,Cleistanthus hirsutulus,Site4,Block17,Plot17c,2172,a,juvenile,0,2.02,01/10/2018,NA,NA,NA,NA,1,NA,1,,NA,NA,2.02,0,0,06/07/2023,AJ,2.07,0,0,1,1,1,0,0,0,0,1,,0,0,0,0,NA,,0,,0,1,1
3090,3043,2173a,Malvaceae,Brownlowia,peltata,Brownlowia peltata,Site4,Block17,Plot17c,2173,a,juvenile,0,3.97,01/10/2018,NA,NA,NA,NA,1,NA,1,,NA,NA,3.97,0,0,06/07/2023,AJ,3.82,0,0,1,1,1,0,0,0,0,1,,1,0,0,0,NA,,0,,0,1,1
3091,3044,2174a,Rubiaceae,Praravinia,suberosa,Praravinia suberosa,Site4,Block17,Plot17c,2174,a,juvenile,0,2.05,01/10/2018,NA,NA,NA,NA,0,NA,0,,NA,NA,2.05,0,0,06/07/2023,AJ,1.91,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,NA,,0,,0,0,0
3092,3045,2175a,Rubiaceae,Praravinia,suberosa,Praravinia suberosa,Site4,Block17,Plot17c,2175,a,juvenile,0,2.34,01/10/2018,NA,NA,NA,NA,0,NA,0,,NA,NA,2.34,0,0,06/07/2023,AJ,2.33,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,NA,,0,,0,0,0
3093,3046,2176a,Gentianaceae,Fagraea,volubilis,Fagraea volubilis,Site4,Block17,Plot17c,2176,a,juvenile,0,1.07,01/10/2018,NA,NA,NA,NA,0,NA,0,,NA,NA,1.07,0,0,06/07/2023,AJ,1.21,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,NA,,0,,0,0,0
3094,3047,2177a,Melastomataceae,Pternandra,borneaensis,Pternandra borneaensis,Site4,Block17,Plot17c,2177,a,juvenile,0,9.2,01/10/2018,NA,NA,NA,NA,1,NA,1,multiple stem,NA,NA,9.2,0,0,06/07/2023,AJ,9.8,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,NA,,0,,0,1,0
3095,3048,2177b,Melastomataceae,Pternandra,borneaensis,Pternandra borneaensis,Site4,Block17,Plot17c,2177,b,juvenile,NA,1.35,01/10/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35,0,0,06/07/2023,AJ,1.54,0,0,NA,0,NA,NA,NA,NA,NA,NA,,0,1,0,0,NA,,0,,0,0,0
3096,3049,2178a,Melastomataceae,Pternandra,borneaensis,Pternandra borneaensis,Site4,Block17,Plot17c,2178,a,juvenile,0,1.33,01/10/2018,NA,NA,NA,NA,1,NA,1,,NA,NA,1.33,0,0,06/07/2023,AJ,1.33,0,0,0,0,0,0,0,0,0,0,prostate,0,0,0,0,NA,,0,,0,1,0
3097,3050,2179a,Rubiaceae,Praravinia,polymera,Praravinia polymera,Site4,Block17,Plot17c,2179,a,juvenile,0,1.27,01/10/2018,NA,NA,NA,NA,0,NA,0,,NA,NA,1.27,0,0,06/07/2023,AJ,1.23,0,0,0,0,0,0,0,0,0,0,prostate,0,0,0,0,NA,,0,,0,0,0
3098,3051,217a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site4,Block20,Plot20e,217,a,juvenile,0,1.32,01/10/2018,NA,NA,NA,NA,0,NA,0,,NA,NA,1.32,1,60,30/06/2023,Unknown,1.59,0,NA,0,NA,0,0,0,0,0,0,,0,0,0,0,NA,,0,,0,0,NA
3099,3052,2180a,Dipterocarpaceae,Hopea,nervosa,Hopea nervosa,Site4,Block17,Plot17c,2180,a,juvenile,0,1.3,01/10/2018,NA,NA,NA,NA,0,NA,0,,NA,NA,1.3,0,0,06/07/2023,AJ,1.89,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,NA,,0,,1,0,0
3100,3053,2181a,Dipterocarpaceae,Hopea,nervosa,Hopea nervosa,Site4,Block17,Plot17c,2181,a,juvenile,0,3.77,01/10/2018,NA,NA,NA,NA,1,NA,0,,NA,NA,3.77,0,0,06/07/2023,AJ,3.73,0,0,1,1,0,0,0,0,0,0,,0,0,0,0,NA,,0,,1,1,1
