,X,unique.ID,Family,New.Genus,New.Species,TPL.name,Site,Block,Plot,Indiv.ID,Stem.ID,Age.class,Dead.19,Diam.18,date.18,hght.18,hght.19,Abn.18,Load.18,Prev.18,Load.19,Prev.19,note,Diam.19,date.19,Diam,Cut,treatment.perc.cut,date.23,scribe.23,diam.23,dead.23,coi.23,prev.23,canopy.liana.23,stems24.23,stems46.23,stems68.23,stems810.23,stems10pl.23,total.stems.23,notes.23,leaning.23,multistem.23,alt.pom.23,broken.23,retag.no.23,notes.to.rw,remove_rgr,why_remove,timber_spp,pre_liana_presence,post_liana_presence
1,1,10000a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site2,Block78,Plot78b,10000,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,1.319848476,24/09/2019,1.319848476,1,60,30/08/2023,WG,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,missing,0,0,0,0,NA,,0,,0,0,NA
2,2,10001a,Dipterocarpaceae,Shorea,fallax,Shorea fallax,Site2,Block78,Plot78b,10001,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,4.444862203,24/09/2019,4.444862203,1,60,30/08/2023,WG,4.31,0,NA,NA,NA,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,1,0,NA
3,3,10002a,Dipterocarpaceae,Shorea,fallax,Shorea fallax,Site2,Block78,Plot78b,10002,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,2.144994172,24/09/2019,2.144994172,1,60,30/08/2023,WG,2.31,0,NA,NA,NA,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,1,0,NA
4,4,10002b,Dipterocarpaceae,Shorea,fallax,Shorea fallax,Site2,Block78,Plot78b,10002,b,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2.109976303,24/09/2019,2.109976303,1,60,30/08/2023,WG,2.03,0,NA,NA,NA,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,1,0,NA
5,5,10003a,Dipterocarpaceae,Shorea,fallax,Shorea fallax,Site2,Block78,Plot78b,10003,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,2.414870597,24/09/2019,2.414870597,1,60,30/08/2023,WG,2.43,0,NA,NA,NA,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,1,0,NA
6,6,10004a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site2,Block78,Plot78b,10004,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,2.544955795,24/09/2019,2.544955795,1,60,30/08/2023,WG,2.21,0,NA,NA,NA,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,0,0,NA
7,7,10005a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site2,Block78,Plot78b,10005,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,1.994692959,24/09/2019,1.994692959,1,60,30/08/2023,WG,2.84,0,NA,NA,NA,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,0,0,NA
8,8,10006a,Putranjivaceae,Drypetes,longifolia,Drypetes longifolia,Site2,Block78,Plot78b,10006,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,1.410673598,24/09/2019,1.410673598,1,60,30/08/2023,WG,2.06,0,NA,NA,NA,0,NA,NA,NA,NA,0,,1,0,0,0,NA,,0,,0,0,NA
9,9,10007a,Euphorbiaceae,Koilodepas,longifolium,Koilodepas longifolium,Site2,Block78,Plot78b,10007,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,2.724995413,24/09/2019,2.724995413,1,60,30/08/2023,WG,3.09,0,NA,NA,NA,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,0,0,NA
10,10,10008a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site2,Block78,Plot78b,10008,a,sappling,,NA,NA,NA,137.4,NA,NA,NA,NA,0,,12.94217911,24/09/2019,12.94217911,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
11,11,10009a,,Antidesma,sp,Antidesma sp,Site2,Block78,Plot78b,10009,a,sappling,,NA,NA,NA,86,NA,NA,NA,NA,0,,8.248636251,24/09/2019,8.248636251,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
12,12,1000a,Phyllanthaceae,Cleistanthus,paxii,Cleistanthus paxii,Site4,Block19,Plot19c,1000,a,juvenile,0,1.76,01/10/2018,NA,NA,NA,NA,1,NA,1,,NA,NA,1.76,1,100,01/07/2023,AJ,2.11,0,0,1,1,0,0,0,0,0,0,,0,0,0,0,NA,,0,,0,1,1
13,13,10010a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site2,Block78,Plot78b,10010,a,sappling,,NA,NA,NA,177.2,NA,NA,NA,NA,0,,12.4498996,24/09/2019,12.4498996,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
14,14,10011a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site2,Block78,Plot78b,10011,a,sappling,,NA,NA,NA,161.5,NA,NA,NA,NA,0,,16.88105447,24/09/2019,16.88105447,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
15,15,10012a,Euphorbiaceae,Mallotus,miquelianus,Mallotus miquelianus,Site2,Block78,Plot78b,10012,a,sappling,,NA,NA,NA,130,NA,NA,NA,NA,0,,12.6984251,24/09/2019,12.6984251,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
16,16,10013a,Meliaceae,Aglaia,grandis,Aglaia grandis,Site2,Block78,Plot78b,10013,a,sappling,,NA,NA,NA,151.8,NA,NA,NA,NA,0,,34.03380672,24/09/2019,34.03380672,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
17,17,10014a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site2,Block78,Plot78b,10014,a,sappling,,NA,NA,NA,174.2,NA,NA,NA,NA,0,,10.29805807,24/09/2019,10.29805807,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
18,18,10015a,Dipterocarpaceae,Shorea,fallax,Shorea fallax,Site2,Block78,Plot78b,10015,a,sappling,,NA,NA,NA,124.3,NA,NA,NA,NA,0,broken,15.89968553,24/09/2019,15.89968553,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,1,0,NA
19,19,10016a,,Saurauia,sp,Saurauia sp,Site2,Block78,Plot78b,10016,a,sappling,,NA,NA,NA,86.3,NA,NA,NA,NA,0,broken,12.43784547,24/09/2019,12.43784547,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
20,20,10017a,Euphorbiaceae,Mallotus,miquelianus,Mallotus miquelianus,Site2,Block78,Plot78b,10017,a,sappling,,NA,NA,NA,62,NA,NA,NA,NA,0,,6.448255578,24/09/2019,6.448255578,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
21,21,10018a,Gentianaceae,Fagraea,volubilis,Fagraea volubilis,Site2,Block78,Plot78b,10018,a,sappling,,NA,NA,NA,100,NA,NA,NA,NA,0,,9.349866309,24/09/2019,9.349866309,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
22,22,10019a,Gentianaceae,Fagraea,volubilis,Fagraea volubilis,Site2,Block78,Plot78b,10019,a,sappling,,NA,NA,NA,204.2,NA,NA,NA,NA,0,,23.79915965,24/09/2019,23.79915965,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
23,23,1001a,Phyllanthaceae,Cleistanthus,paxii,Cleistanthus paxii,Site4,Block19,Plot19c,1001,a,juvenile,0,1.51,01/10/2018,NA,NA,NA,NA,1,NA,1,,NA,NA,1.51,1,100,01/07/2023,AJ,2,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,NA,,0,,0,1,0
24,24,10020a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site2,Block78,Plot78b,10020,a,sappling,,NA,NA,NA,88.6,NA,NA,NA,NA,0,,6.8,24/09/2019,6.8,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
25,25,10021a,Dipterocarpaceae,Shorea,fallax,Shorea fallax,Site2,Block78,Plot78b,10021,a,sappling,,NA,NA,NA,96.3,NA,NA,NA,NA,0,broken,5.531726674,24/09/2019,5.531726674,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,1,0,NA
26,26,10022a,Sapindaceae,Allophylus,cobbe,Allophylus cobbe,Site2,Block78,Plot78b,10022,a,sappling,,NA,NA,NA,129,NA,NA,NA,NA,0,,7.049822693,24/09/2019,7.049822693,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
27,27,10023a,Cannabaceae,Ziziphus,angustifolia,Ziziphus angustifolia,Site2,Block78,Plot78b,10023,a,sappling,,NA,NA,NA,99.5,NA,NA,NA,NA,0,,9.849873096,24/09/2019,9.849873096,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
28,28,10024a,Dipterocarpaceae,Shorea,fallax,Shorea fallax,Site2,Block78,Plot78b,10024,a,sappling,,NA,NA,NA,126.6,NA,NA,NA,NA,0,broken,14.44299138,24/09/2019,14.44299138,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,1,0,NA
29,29,10025a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site2,Block78,Plot78b,10025,a,sappling,,NA,NA,NA,83,NA,NA,NA,NA,0,,6.799264666,24/09/2019,6.799264666,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
30,30,10026a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site2,Block78,Plot78b,10026,a,seedling,,NA,NA,NA,13,NA,NA,NA,NA,0,,1.349073756,24/09/2019,1.349073756,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
31,31,10027a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site2,Block78,Plot78b,10027,a,seedling,,NA,NA,NA,27.4,NA,NA,NA,NA,0,,2.749545417,24/09/2019,2.749545417,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
32,32,10028a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site2,Block78,Plot78b,10028,a,seedling,,NA,NA,NA,23,NA,NA,NA,NA,0,broken,3.146426545,24/09/2019,3.146426545,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
33,33,10029a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site2,Block78,Plot78b,10029,a,seedling,,NA,NA,NA,22.2,NA,NA,NA,NA,0,,2,24/09/2019,2,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
34,34,1002a,Euphorbiaceae,Mallotus,wrayi,Mallotus wrayi,Site4,Block19,Plot19c,1002,a,juvenile,0,4.26,01/10/2018,NA,NA,NA,NA,1,NA,1,multiple stem / prostrate,NA,NA,4.26,1,100,01/07/2023,AJ,7.1,0,0,1,1,1,0,0,0,0,1,slope,1,1,0,0,11625,,0,,0,1,1
35,35,1002b,Euphorbiaceae,Mallotus,wrayi,Mallotus wrayi,Site4,Block19,Plot19c,1002,b,juvenile,NA,5.99,01/10/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.99,1,100,01/07/2023,AJ,4.5,0,0,NA,0,NA,NA,NA,NA,NA,NA,slope,1,1,0,0,11625,,0,,0,0,0
36,36,1002c,Euphorbiaceae,Mallotus,wrayi,Mallotus wrayi,Site4,Block19,Plot19c,1002,c,juvenile,NA,6.7,01/10/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,1,100,01/07/2023,AJ,3.1,0,0,NA,0,NA,NA,NA,NA,NA,NA,slope,1,1,0,0,11625,need to check diam,1,need to check diam,0,0,0
37,37,1002d,Euphorbiaceae,Mallotus,wrayi,Mallotus wrayi,Site4,Block19,Plot19c,1002,d,juvenile,NA,2.78,01/10/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78,1,100,01/07/2023,AJ,4.5,0,0,NA,0,NA,NA,NA,NA,NA,NA,slope,1,1,0,0,11625,,0,,0,0,0
38,38,1002e,Euphorbiaceae,Mallotus,wrayi,Mallotus wrayi,Site4,Block19,Plot19c,1002,e,juvenile,NA,9.3,01/10/2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,1,100,01/07/2023,AJ,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,lost stem,0,1,0,0,NA,,0,,0,0,0
39,39,10030a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site2,Block78,Plot78b,10030,a,seedling,,NA,NA,NA,10,NA,NA,NA,NA,0,,0.424264069,24/09/2019,0.424264069,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
40,40,10031a,Rubiaceae,Urophyllum,griffithianum,Urophyllum griffithianum,Site2,Block78,Plot78b,10031,a,seedling,,NA,NA,NA,22.5,NA,NA,NA,NA,0,,1.5,24/09/2019,1.5,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
41,41,10032a,Dipterocarpaceae,Parashorea,malaanonan,Parashorea malaanonan,Site2,Block78,Plot78b,10032,a,seedling,,NA,NA,NA,38.6,NA,NA,NA,NA,0,,2.792848009,24/09/2019,2.792848009,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,1,0,NA
42,42,10033a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site2,Block78,Plot78b,10033,a,seedling,,NA,NA,NA,41.2,NA,NA,NA,NA,0,,5.344155686,24/09/2019,5.344155686,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
43,43,10034a,,NA,NA,NA,Site2,Block78,Plot78b,10034,a,seedling,,NA,NA,NA,39,NA,NA,NA,NA,0,,6.249799997,24/09/2019,6.249799997,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
44,44,10035a,,liana,NA,liana,Site2,Block78,Plot78b,10035,a,seedling,,NA,NA,NA,24,NA,NA,NA,NA,0,,1.6,24/09/2019,1.6,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
45,45,10036a,,NA,NA,NA,Site2,Block78,Plot78b,10036,a,seedling,,NA,NA,NA,34,NA,NA,NA,NA,0,,3.54964787,24/09/2019,3.54964787,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
46,46,10037a,Annonaceae,Anaxagorea,javanica,Anaxagorea javanica,Site2,Block78,Plot78b,10037,a,seedling,,NA,NA,NA,24,NA,NA,NA,NA,0,,2,24/09/2019,2,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
47,47,10038a,,NA,NA,NA,Site2,Block78,Plot78b,10038,a,seedling,,NA,NA,NA,15,NA,NA,NA,NA,0,,1,24/09/2019,1,1,60,NA,WG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,,0,0,NA
48,48,10039a,Euphorbiaceae,Macaranga,pearsonii,Macaranga pearsonii,Site2,Block78,Plot78a,10039,a,adult,,NA,NA,NA,NA,NA,NA,NA,4,1,,63.2,24/09/2019,63.2,1,60,30/08/2023,AJ,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,dead,0,0,0,0,NA,,1,dead,0,1,0
49,49,1003a,Apocynaceae,Kopsia,pauciflora,Kopsia pauciflora,Site4,Block19,Plot19c,1003,a,juvenile,0,3.21,01/10/2018,NA,NA,NA,NA,1,NA,1,,NA,NA,3.21,1,100,01/07/2023,AJ,3.25,0,0,0,0,0,0,0,0,0,0,non cylindrical,0,0,0,0,NA,,0,,0,1,0
50,50,10040a,,NA,NA,NA,Site2,Block78,Plot78a,10040,a,adult,,NA,NA,NA,NA,NA,NA,NA,3,1,,14.1,24/09/2019,14.1,1,60,30/08/2023,AJ,16.7,0,0,NA,0,2,NA,NA,NA,NA,2,,0,0,0,0,NA,,0,,0,1,1
51,51,10041a,Euphorbiaceae,Macaranga,pearsonii,Macaranga pearsonii,Site2,Block78,Plot78a,10041,a,adult,,NA,NA,NA,NA,NA,NA,NA,1,1,,27.9,24/09/2019,27.9,1,60,30/08/2023,AJ,28.7,0,0,NA,0,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,0,1,0
52,52,10042a,Dipterocarpaceae,Shorea,parvifolia,Shorea parvifolia,Site2,Block78,Plot78a,10042,a,adult,,NA,NA,NA,NA,NA,NA,NA,3,1,,32.7,24/09/2019,32.7,1,60,30/08/2023,AJ,35.9,0,0,NA,0,2,NA,NA,NA,NA,2,,0,0,0,0,NA,,0,,1,1,1
53,53,10043a,Dipterocarpaceae,Parashorea,malaanonan,Parashorea malaanonan,Site2,Block78,Plot78a,10043,a,adult,,NA,NA,NA,NA,NA,NA,NA,1,1,,13.8,24/09/2019,13.8,1,60,30/08/2023,AJ,16.8,0,0,NA,0,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,1,1,0
54,54,10044a,Euphorbiaceae,Macaranga,pearsonii,Macaranga pearsonii,Site2,Block78,Plot78a,10044,a,adult,,NA,NA,NA,NA,NA,NA,NA,4,1,,48.3,24/09/2019,48.3,1,60,30/08/2023,AJ,48.4,0,0,NA,0,1,NA,NA,NA,NA,1,,0,0,0,0,NA,,0,,0,1,1
55,55,10045a,Rubiaceae,Urophyllum,sandahanicum,Urophyllum sandahanicum,Site2,Block78,Plot78a,10045,a,adult,,NA,NA,NA,NA,NA,NA,NA,4,1,,17.9,24/09/2019,17.9,1,60,30/08/2023,AJ,17.9,0,0,NA,0,,NA,NA,NA,NA,NA,broken crown,0,0,0,1,NA,,0,,0,1,0
56,56,10046a,Euphorbiaceae,Macaranga,pearsonii,Macaranga pearsonii,Site2,Block78,Plot78a,10046,a,adult,,NA,NA,NA,NA,NA,NA,NA,2,1,,62.6,24/09/2019,62.6,1,60,30/08/2023,AJ,67.1,0,0,NA,0,,NA,NA,NA,NA,NA,,0,0,0,0,NA,,0,,0,1,0
57,57,10047a,Rubiaceae,Urophyllum,sandahanicum,Urophyllum sandahanicum,Site2,Block78,Plot78a,10047,a,adult,,NA,NA,NA,NA,NA,NA,NA,0,0,,11.8,24/09/2019,11.8,1,60,30/08/2023,AJ,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,dead,0,0,0,0,NA,,1,dead,0,0,0
58,58,10048a,Euphorbiaceae,Macaranga,pearsonii,Macaranga pearsonii,Site2,Block78,Plot78a,10048,a,adult,,NA,NA,NA,NA,NA,NA,NA,0,0,,49.8,24/09/2019,49.8,1,60,30/08/2023,AJ,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,dead,0,0,0,0,NA,,1,dead,0,0,0
59,59,10049a,Phyllanthaceae,Aporosa,nervosa,Aporosa nervosa,Site2,Block78,Plot78a,10049,a,adult,,NA,NA,NA,NA,NA,NA,NA,2,1,leaning,20.9,24/09/2019,20.9,1,60,30/08/2023,AJ,21.4,0,0,NA,0,2,NA,NA,NA,NA,2,,0,0,0,0,NA,,0,,0,1,1
60,60,1004a,Euphorbiaceae,Mallotus,floribundus,Mallotus floribundus,Site4,Block19,Plot19c,1004,a,juvenile,0,1.69,01/10/2018,NA,NA,NA,NA,1,NA,0,,NA,NA,1.69,1,100,01/07/2023,AJ,1.82,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,NA,,0,,0,1,0
61,61,10050a,,Shorea,sp,Shorea sp,Site2,Block78,Plot78a,10050,a,adult,,NA,NA,NA,NA,NA,NA,NA,1,1,,27.6,24/09/2019,27.6,1,60,30/08/2023,AJ,37.8,0,0,NA,0,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,0,1,0
62,62,10051a,Dipterocarpaceae,Parashorea,tomentella,Parashorea tomentella,Site2,Block78,Plot78a,10051,a,adult,,NA,NA,NA,NA,NA,NA,NA,0,0,,11.6,24/09/2019,11.6,1,60,30/08/2023,AJ,12.9,0,0,NA,0,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,1,0,0
63,63,10052a,,NA,NA,NA,Site2,Block78,Plot78a,10052,a,adult,,NA,NA,NA,NA,NA,NA,NA,1,1,butt,60,24/09/2019,60,1,60,30/08/2023,AJ,57.8,0,0,NA,0,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,0,1,0
64,64,10053a,,NA,NA,NA,Site2,Block78,Plot78a,10053,a,adult,,NA,NA,NA,NA,NA,NA,NA,3,1,,17.2,24/09/2019,17.2,1,60,30/08/2023,AJ,17.3,0,0,NA,0,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,0,1,0
65,65,10054a,,Ficus,sp,Ficus sp,Site2,Block78,Plot78a,10054,a,adult,,NA,NA,NA,NA,NA,NA,NA,1,1,,16.5,24/09/2019,16.5,1,60,30/08/2023,AJ,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,dead,0,0,0,0,NA,,1,dead,0,1,0
66,66,10055a,Rubiaceae,Urophyllum,sandahanicum,Urophyllum sandahanicum,Site2,Block78,Plot78a,10055,a,adult,,NA,NA,NA,NA,NA,NA,NA,2,1,,18.5,24/09/2019,18.5,1,60,30/08/2023,AJ,22.8,0,0,NA,0,2,NA,NA,NA,NA,2,,0,0,0,0,NA,,0,,0,1,1
67,67,10056a,Euphorbiaceae,Macaranga,gigantea,Macaranga gigantea,Site2,Block78,Plot78a,10056,a,adult,,NA,NA,NA,NA,NA,NA,NA,1,1,,38.4,24/09/2019,38.4,1,60,30/08/2023,AJ,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,dead,0,0,0,0,NA,,1,dead,0,1,0
68,68,10057a,,NA,NA,NA,Site2,Block78,Plot78a,10057,a,adult,,NA,NA,NA,NA,NA,NA,NA,4,1,,56.1,24/09/2019,56.1,1,60,30/08/2023,AJ,56,0,0,NA,0,6,2,NA,NA,NA,8,,0,0,0,0,NA,,0,,0,1,1
69,69,10058a,Leguminosae,Fordia,brachybotrys,Fordia brachybotrys,Site2,Block78,Plot78a,10058,a,adult,,NA,NA,NA,NA,NA,NA,NA,3,1,,12.7,24/09/2019,12.7,1,60,30/08/2023,AJ,13.1,0,0,NA,0,0,2,NA,NA,NA,2,,0,0,0,0,12239,,0,,0,1,1
70,70,10059a,Euphorbiaceae,Koilodepas,longifolium,Koilodepas longifolium,Site2,Block78,Plot78a,10059,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,1.01,24/09/2019,1.01,1,60,30/08/2023,AJ,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,,0,0,0,0,NA,,0,,0,0,0
71,71,1005a,Lauraceae,Litsea,fulva,Litsea fulva,Site4,Block19,Plot19c,1005,a,juvenile,0,2.32,01/10/2018,NA,NA,NA,NA,0,NA,0,,NA,NA,2.32,1,100,01/07/2023,AJ,2.5,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,NA,,0,,0,0,0
72,72,10060a,Achariaceae,Hydnocarpus,borneensis,Hydnocarpus borneensis,Site2,Block78,Plot78a,10060,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,3.414908491,24/09/2019,3.414908491,1,60,30/08/2023,AJ,3.61,0,0,0,0,0,NA,NA,NA,NA,0,,0,0,0,0,12240,,0,,0,0,0
73,73,10061a,Euphorbiaceae,Koilodepas,longifolium,Koilodepas longifolium,Site2,Block78,Plot78a,10061,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,3.069853417,24/09/2019,3.069853417,1,60,30/08/2023,AJ,3.36,0,0,1,0,1,NA,NA,NA,NA,1,,0,0,0,0,NA,,0,,0,0,1
74,74,10062a,Euphorbiaceae,Mallotus,korthalsii,Mallotus korthalsii,Site2,Block78,Plot78a,10062,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,2.369978903,24/09/2019,2.369978903,1,60,30/08/2023,AJ,3.35,0,0,0,0,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,0,1,0
75,75,10063a,Dilleniaceae,Dillenia,excelsa,Dillenia excelsa,Site2,Block78,Plot78a,10063,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,4.141304142,24/09/2019,4.141304142,1,60,30/08/2023,AJ,4.8,0,0,1,0,1,NA,NA,NA,NA,1,,0,0,0,0,NA,,0,,0,1,1
76,76,10064a,,Lansium,sp,Lansium sp,Site2,Block78,Plot78a,10064,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,2.194948747,24/09/2019,2.194948747,1,60,30/08/2023,AJ,2.25,0,0,0,0,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,0,0,0
77,77,10065a,Euphorbiaceae,Koilodepas,longifolium,Koilodepas longifolium,Site2,Block78,Plot78a,10065,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,1.854939352,24/09/2019,1.854939352,1,60,30/08/2023,AJ,2.33,0,0,0,0,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,0,0,0
78,78,10066a,Phyllanthaceae,Aporosa,grandistipula,Aporosa grandistipula,Site2,Block78,Plot78a,10066,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,0,,2.249911109,24/09/2019,2.249911109,1,60,30/08/2023,AJ,2.34,0,0,0,0,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,0,0,0
79,79,10067a,Theaceae,Pyrenaria,acuminata,Pyrenaria acuminata,Site2,Block78,Plot78a,10067,a,juvenile,,NA,NA,NA,NA,NA,NA,NA,NA,1,,6.6,24/09/2019,6.6,1,60,30/08/2023,AJ,7.1,0,0,1,0,0,NA,NA,NA,NA,0,,0,0,0,0,NA,,0,,0,1,1
